实验序号,亲本甲配子,亲本乙配子,后代基因型,胚乳性状,粒形,性状组合
2932,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
2933,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
2934,WY,WY,WWYY,非糯性,长粒,非糯性长粒
2935,WY,wy,WwYy,非糯性,长粒,非糯性长粒
2936,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
2937,WY,wy,WwYy,非糯性,长粒,非糯性长粒
2938,wY,wY,wwYY,糯性,长粒,糯性长粒
2939,WY,wY,WwYY,非糯性,长粒,非糯性长粒
2940,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
2941,wy,wY,wwYy,糯性,长粒,糯性长粒
2942,WY,wy,WwYy,非糯性,长粒,非糯性长粒
2943,Wy,wY,WwYy,非糯性,长粒,非糯性长粒
2944,wY,wY,wwYY,糯性,长粒,糯性长粒
2945,wy,wY,wwYy,糯性,长粒,糯性长粒
2946,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
2947,wy,wy,wwyy,糯性,短粒,糯性短粒
2948,wY,wy,wwYy,糯性,长粒,糯性长粒
2949,Wy,wY,WwYy,非糯性,长粒,非糯性长粒
2950,wY,WY,WwYY,非糯性,长粒,非糯性长粒
2951,wy,wy,wwyy,糯性,短粒,糯性短粒
2952,wy,WY,WwYy,非糯性,长粒,非糯性长粒
2953,wY,wy,wwYy,糯性,长粒,糯性长粒
2954,wy,WY,WwYy,非糯性,长粒,非糯性长粒
2955,WY,wY,WwYY,非糯性,长粒,非糯性长粒
2956,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
2957,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
2958,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
2959,wY,WY,WwYY,非糯性,长粒,非糯性长粒
2960,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
2961,WY,WY,WWYY,非糯性,长粒,非糯性长粒
2962,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
2963,wy,wY,wwYy,糯性,长粒,糯性长粒
2964,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
2965,wY,wY,wwYY,糯性,长粒,糯性长粒
2966,Wy,wY,WwYy,非糯性,长粒,非糯性长粒
2967,WY,Wy,WWYy,非糯性,长粒,非糯性长粒
2968,wY,wy,wwYy,糯性,长粒,糯性长粒
2969,wy,WY,WwYy,非糯性,长粒,非糯性长粒
2970,wy,wy,wwyy,糯性,短粒,糯性短粒
2971,wY,wY,wwYY,糯性,长粒,糯性长粒
2972,wY,wY,wwYY,糯性,长粒,糯性长粒
2973,WY,Wy,WWYy,非糯性,长粒,非糯性长粒
2974,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
2975,wY,wy,wwYy,糯性,长粒,糯性长粒
2976,WY,WY,WWYY,非糯性,长粒,非糯性长粒
2977,WY,WY,WWYY,非糯性,长粒,非糯性长粒
2978,WY,Wy,WWYy,非糯性,长粒,非糯性长粒
2979,wy,wY,wwYy,糯性,长粒,糯性长粒
2980,wy,WY,WwYy,非糯性,长粒,非糯性长粒
2981,wY,wy,wwYy,糯性,长粒,糯性长粒
2982,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
2983,WY,WY,WWYY,非糯性,长粒,非糯性长粒
2984,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
2985,WY,wy,WwYy,非糯性,长粒,非糯性长粒
2986,wy,wY,wwYy,糯性,长粒,糯性长粒
2987,WY,WY,WWYY,非糯性,长粒,非糯性长粒
2988,wy,WY,WwYy,非糯性,长粒,非糯性长粒
2989,wY,wy,wwYy,糯性,长粒,糯性长粒
2990,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
2991,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
2992,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
2993,WY,WY,WWYY,非糯性,长粒,非糯性长粒
2994,wy,wY,wwYy,糯性,长粒,糯性长粒
2995,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
2996,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
2997,WY,wy,WwYy,非糯性,长粒,非糯性长粒
2998,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
2999,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
3000,WY,Wy,WWYy,非糯性,长粒,非糯性长粒
3001,WY,WY,WWYY,非糯性,长粒,非糯性长粒
3002,WY,wy,WwYy,非糯性,长粒,非糯性长粒
3003,wy,wY,wwYy,糯性,长粒,糯性长粒
3004,WY,wY,WwYY,非糯性,长粒,非糯性长粒
3005,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
3006,wy,wY,wwYy,糯性,长粒,糯性长粒
3007,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
3008,WY,wy,WwYy,非糯性,长粒,非糯性长粒
3009,WY,WY,WWYY,非糯性,长粒,非糯性长粒
3010,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
3011,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
3012,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
3013,wY,wy,wwYy,糯性,长粒,糯性长粒
3014,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
3015,wY,wy,wwYy,糯性,长粒,糯性长粒
3016,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
3017,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
3018,Wy,wY,WwYy,非糯性,长粒,非糯性长粒
3019,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
3020,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
3021,wY,wY,wwYY,糯性,长粒,糯性长粒
3022,wy,WY,WwYy,非糯性,长粒,非糯性长粒
3023,Wy,wY,WwYy,非糯性,长粒,非糯性长粒
3024,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
3025,wY,wy,wwYy,糯性,长粒,糯性长粒
3026,Wy,wY,WwYy,非糯性,长粒,非糯性长粒
3027,WY,wy,WwYy,非糯性,长粒,非糯性长粒
3028,wy,wy,wwyy,糯性,短粒,糯性短粒
3029,wy,wY,wwYy,糯性,长粒,糯性长粒
3030,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
3031,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
3032,WY,Wy,WWYy,非糯性,长粒,非糯性长粒
3033,WY,wy,WwYy,非糯性,长粒,非糯性长粒
3034,Wy,wY,WwYy,非糯性,长粒,非糯性长粒
3035,WY,wY,WwYY,非糯性,长粒,非糯性长粒
3036,wy,wy,wwyy,糯性,短粒,糯性短粒
3037,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
3038,WY,wy,WwYy,非糯性,长粒,非糯性长粒
3039,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
3040,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
3041,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
3042,WY,wY,WwYY,非糯性,长粒,非糯性长粒
3043,Wy,wY,WwYy,非糯性,长粒,非糯性长粒
3044,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
3045,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
3046,WY,wY,WwYY,非糯性,长粒,非糯性长粒
3047,WY,Wy,WWYy,非糯性,长粒,非糯性长粒
3048,wY,WY,WwYY,非糯性,长粒,非糯性长粒
3049,Wy,wY,WwYy,非糯性,长粒,非糯性长粒
3050,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
3051,WY,WY,WWYY,非糯性,长粒,非糯性长粒
3052,WY,wy,WwYy,非糯性,长粒,非糯性长粒
3053,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
3054,wy,WY,WwYy,非糯性,长粒,非糯性长粒
3055,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
3056,wY,WY,WwYY,非糯性,长粒,非糯性长粒
3057,WY,Wy,WWYy,非糯性,长粒,非糯性长粒
3058,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
3059,wy,wy,wwyy,糯性,短粒,糯性短粒
3060,wY,WY,WwYY,非糯性,长粒,非糯性长粒
3061,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
3062,wY,wy,wwYy,糯性,长粒,糯性长粒
3063,WY,wY,WwYY,非糯性,长粒,非糯性长粒
3064,wY,wY,wwYY,糯性,长粒,糯性长粒
3065,WY,wY,WwYY,非糯性,长粒,非糯性长粒
3066,wY,wY,wwYY,糯性,长粒,糯性长粒
3067,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
3068,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
3069,wY,WY,WwYY,非糯性,长粒,非糯性长粒
3070,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
3071,WY,WY,WWYY,非糯性,长粒,非糯性长粒
3072,WY,Wy,WWYy,非糯性,长粒,非糯性长粒
3073,wy,wY,wwYy,糯性,长粒,糯性长粒
3074,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
3075,wy,wY,wwYy,糯性,长粒,糯性长粒
3076,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
3077,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
3078,wY,wY,wwYY,糯性,长粒,糯性长粒
3079,wY,wy,wwYy,糯性,长粒,糯性长粒
3080,WY,WY,WWYY,非糯性,长粒,非糯性长粒
3081,WY,wy,WwYy,非糯性,长粒,非糯性长粒
3082,wY,WY,WwYY,非糯性,长粒,非糯性长粒
3083,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
3084,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
3085,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
3086,wy,wY,wwYy,糯性,长粒,糯性长粒
3087,wy,wy,wwyy,糯性,短粒,糯性短粒
3088,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
3089,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
3090,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
3091,wy,wY,wwYy,糯性,长粒,糯性长粒
